,ML,Basal,LP
1,PIP,ACTG2,MMP7
2,TFF1,ACTA2,S100A9
3,SERPINA1,TPM2,LTF
4,TFF3,MEG3,ALDH1A3
5,MUCL1,KRT14,SLPI
6,AGR2,CLMP,HMGA1
7,ANKRD30A,TAGLN,WFDC2
8,AZGP1,KRT5,CCL20
9,SMIM14,LAMA3,COTL1
10,AREG,APOE,SMS
11,PRSS23,CAV1,SLC25A37
12,UGDH,KRT17,IL32
13,STC2,CRYAB,KRT23
14,CST3,DST,CTSB
15,CYB5A,LIMA1,NOP53
16,XBP1,MYC,SAA1
17,H2AFJ,NNMT,SCGB3A1
18,HIGD1A,ITGB1,TALDO1
19,GLUL,MT2A,CLDN4
20,ABRACL,ID3,SFRP1
21,VAMP8,ODC1,CSTB
22,TMSB4X,STK17A,SLC25A6
23,SLC39A6,ARID5B,HEBP2
24,MGP,PNO1,TSPO
25,COX6C,GADD45A,SAA2
26,UGCG,PRNP,ANXA1
27,ATP1B1,IFRD1,EIF3L
28,TMEM59,SFN,EIF4EBP1
29,NDUFV2,GPATCH4,ANXA3
30,PRR13,CHIC2,SH3BGRL3
31,CD9,THBS1,RPLP0
32,SELENOM,CD55,YWHAH
33,ERRFI1,TUBB6,PHLDA2
34,MYO6,MT1E,EPCAM
35,TIMP1,LYAR,HLA-B
36,S100A14,KRT6B,SDC4
37,SQOR,NCL,RPSA
38,PPDPF,TUBB2A,TKT
39,KRT8,HERPUD1,CXCL1
40,APLP2,ITGA2,EEF1B2
41,COX17,WDR43,C1QBP
42,PRDX5,CALD1,RACK1
43,FXYD3,CEBPD,EZR
44,RABAC1,RND3,RBM3
45,KRT18,ESF1,CCL2
46,GPX4,PPP1R15A,TOMM7
47,CLU,FHL2,BIRC3
48,ITM2B,NOP16,COX4I1
49,ISG20,NEDD9,S100A10
50,TM4SF1,TES,FKBP1A
51,SPINT2,PUM3,RPLP2
52,VMP1,DDX18,EIF3E
53,WSB1,GSTO1,EEF1A1
54,MEAF6,PTP4A1,ATP5F1D
55,CHMP2A,GNL3,MZT2B
56,LAPTM4A,SRM,MYDGF
57,PTP4A2,NOLC1,CALM1
58,EMP3,DDX21,LMNA
59,NDUFB4,MT1X,MGST1
60,USP53,MRTO4,TAGLN2
61,TMEM50A,NOP56,EIF3G
62,SRI,BRIX1,EIF3F
63,SSR4,NEDD4L,APRT
64,DYNLT1,EBNA1BP2,YWHAZ
65,LGALS1,SERBP1,ANXA2
66,REEP5,SLC3A2,GADD45GIP1
67,LPP,TOMM40,EEF2
68,SERF2,DKC1,CAST
69,DAD1,MTHFD2,TPM3
70,BTG1,CYCS,EIF3K
71,RNF181,TGIF1,LDHB
72,ARPC3,HSPA5,NACA
73,NDUFA13,SFPQ,COMMD6
74,COPE,METAP2,GAPDH
75,CYSTM1,FBL,EDF1
76,UQCR11,HNRNPAB,UQCRH
77,MARCKSL1,EIF5,ATP5MG
78,ATP6V0E1,NFIB,PSMB7
79,SDCBP,YBX3,EIF3H
80,ACADVL,GRPEL1,SSBP1
81,JPT1,FOSL1,KRT7
82,MYL12B,HSPA9,ATP5MC3
83,GNAS,S100A2,ENO1
84,ATP6V1G1,NIFK,PFDN5
85,CD47,RSL1D1,
86,KRT10,ETF1,
87,MYL12A,CMSS1,
88,UBXN4,NPM1,
89,COX7A2,NAP1L1,
90,CD164,AMD1,
91,CD63,EIF3J,
92,NFKBIA,NOP58,
93,PALLD,PA2G4,
94,BAG1,NUPR1,
95,HMGN1,HNRNPH3,
96,DSTN,EIF4A3,
97,TMEM258,SLC38A1,
98,LRRFIP1,PFDN2,
99,HSBP1,HNRNPA2B1,
100,COX6B1,EIF1,
101,NDUFA1,SRSF7,
102,TMBIM6,PDLIM4,
103,SOD1,GTPBP4,
104,ARHGAP29,SSR3,
105,UQCRQ,ZNF593,
106,UBB,NFE2L2,
107,B2M,DDX24,
108,COX5B,ATP1B3,
109,ACTB,HNRNPH1,
110,JTB,CAVIN1,
111,CLIC1,HNRNPC,
112,COX7C,HNRNPR,
113,OST4,MAFF,
114,LGALS3,SELENOS,
115,ATP5PF,HSP90B1,
116,UQCR10,EIF4E,
117,SPCS1,ABCF1,
118,,HNRNPM,
119,,DUSP4,
120,,CYTOR,
121,,SNRPB,
122,,RSRC2,
123,,ATF4,
124,,TAF1D,
125,,SBDS,
126,,RHEB,
127,,PRMT1,
128,,EIF5B,
129,,CCT2,
130,,PNRC1,
131,,EIF4A1,
132,,CSNK1A1,
133,,PRPF38B,
134,,CNBP,
135,,DDX5,
136,,SNRPF,
137,,RBM8A,
138,,HNRNPA0,
139,,ILF2,
140,,SON,
141,,VIM,
142,,SNRPD1,
143,,HNRNPU,
144,,RBM39,
145,,TNFRSF12A,
146,,PNN,
147,,TOP1,
148,,FTL,
149,,ACTN4,
150,,RSL24D1,
151,,SQSTM1,
152,,LDHA,
153,,EIF1AX,
154,,ANP32B,
155,,MAP1LC3B,
156,,SYNCRIP,
157,,GNG12,
158,,HNRNPDL,
159,,TRA2B,
160,,PRDX6,
161,,UBE2N,
162,,TPM1,
163,,GCLM,
164,,GLIPR1,
165,,SNU13,
166,,SRRM1,
167,,PYURF,
168,,LUC7L3,
169,,CCT5,
170,,ENY2,
171,,SRSF2,
172,,SRSF3,
173,,RANBP1,
174,,G3BP1,
175,,RAN,
176,,HNRNPF,
177,,ATP5F1B,
178,,GSPT1,
179,,SNHG8,
180,,DDX3X,
181,,FAU,
182,,YBX1,
183,,SRRM2,
184,,TUBA1B,
185,,MRFAP1,
186,,ARGLU1,
187,,PPP1CB,
188,,FUS,
189,,SET,
190,,STRAP,
191,,ZC3H15,
192,,SF1,
193,,UBC,
194,,SLC25A5,
195,,CYR61,
196,,HNRNPA3,
197,,SERP1,
198,,RAB7A,
199,,MTHFD2L,
